Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance OG,Performance Recov,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Expected xA,Expected A-xAG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,KP,1/3,PPA,CrsPA,PrgP
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,23,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,0,16,55,6,72,5,0,128,3.9,3.9,4.2,8.1,2.6,-1.2,0.09,-2.9,-2.9,43,86,151,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31,26.4,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,95,3.6,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1,8,39,17.0,592,797,74.3,7577,2182,46,47,16,4,86
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,20,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0,5,3,1,7,0,0,8,0.2,0.2,0.0,0.2,0.1,0.0,0.04,-0.2,-0.2,8,6,15,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,0,4,1,25.0,2.08,0.52,0.0,0.0,18.7,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,8,4.16,4,1,0,2,1,0,2,1.04,1,0,0,1,0,0,1,1,50.0,51,71,71.8,659,109,1,3,0,0,6
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1,1,0,1,0,0,0,0.0,0,4,2,2,0,1,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,100.0,23,29,79.3,375,79,0,0,0,0,0
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,100.0,8,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36,1987,37,37,333,37.0,1,2,3,1,0,0,6,0,0,49,28,2,5,64,0,263,2.4,2.4,1.0,3.4,0.9,1.0,0.07,-1.4,-1.4,40,215,10,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1,1,32,3,9.4,0.86,0.08,0.03,0.33,15.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0,93,51,64.6,1679,2031,82.7,32967,13407,13,155,5,0,215
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,0,43,31,1,35,28,0,180,1.4,1.4,2.9,4.3,2.5,-0.9,0.06,0.6,0.6,58,151,111,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18,23.7,64,38,22,32,10,31,67,46.3,36,30,1,29,28,92,15,0,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0,18,23,43.9,1043,1257,83.0,18273,4649,36,124,26,8,151
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0,71,38,0,10,36,1,213,0.9,0.9,1.6,2.5,2.3,-0.6,0.07,0.1,0.1,33,165,44,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0,1,13,4,30.8,0.4,0.12,0.08,0.25,19.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0,14,17,45.2,1819,1981,91.8,28679,7020,17,182,17,3,165
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,29,28,2342,26.0,0,1,1,0,0,0,7,1,1,28,29,0,6,34,0,193,0.5,0.5,1.3,1.8,1.1,-0.3,0.04,-0.5,-0.5,13,143,14,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,26.0,92,52,59,30,3,39,92,42.4,53,47,8,39,34,126,39,0,0,13,2,15.4,0.5,0.08,0.0,0.0,24.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0,8,15,34.8,1308,1483,88.2,22287,7579,14,144,11,0,143
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,27,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0,13,7,0,5,5,0,37,0.1,0.1,0.4,0.6,0.3,-0.4,0.05,-0.1,-0.1,2,15,8,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,6.6,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0,0,3,2,66.7,0.46,0.3,0.0,0.0,14.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,9,1.37,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,50,21,70.4,115,195,59.0,1943,930,6,17,3,2,15
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,20,2003,19,8,806,9.0,2,1,3,1,1,2,1,0,0,14,10,5,6,1,0,13,3.6,2.0,0.7,2.7,0.3,0.3,0.08,-1.6,-1.0,14,8,49,0.22,0.11,0.33,0.11,0.22,0.4,0.08,0.47,0.22,0.3,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0,1,2,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,15,1.67,8,0,5,0,2,0,3,0.33,1,0,1,0,1,0,12,30,28.6,69,105,65.7,1187,235,5,7,3,1,8
